MatchID,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HadStatError,HomeWin,AwayWin,Draw,Result,HomePoints,AwayPoints,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,YellowCardsDiff,RedCardsDiff,GoalDiff,HalfTimeGoalDiff,TotalGoals,HomeShotAccuracy,HomeConversion,AwayShotAccuracy,AwayConversion,ShotAccuracyDiff
1,2000/01,2000-08-19,Charlton,Man City,4,0,H,2,0,H,17.0,8.0,14.0,4.0,6,6,13,12,1,2,0,0,False,1,0,0,HomeWin,3,0,9.0,10.0,0,1,-1,0,4,2,4,0.8235294117647058,0.2857142857142857,0.5,0.0,0.32352941176470584
2,2000/01,2000-08-19,Chelsea,West Ham,4,2,H,1,0,H,17.0,12.0,10.0,5.0,7,7,19,14,1,2,0,0,False,1,0,0,HomeWin,3,0,5.0,5.0,0,5,-1,0,2,1,6,0.5882352941176471,0.4,0.4166666666666667,0.4,0.1715686274509804
3,2000/01,2000-08-19,Coventry,Middlesbrough,1,3,A,1,1,D,6.0,16.0,3.0,9.0,8,4,15,21,5,3,1,0,False,0,1,0,AwayWin,0,3,-10.0,-6.0,4,-6,2,1,-2,0,4,0.5,0.3333333333333333,0.5625,0.3333333333333333,-0.0625
4,2000/01,2000-08-19,Derby,Southampton,2,2,D,1,2,A,6.0,13.0,4.0,6.0,5,8,11,13,1,1,0,0,False,0,0,1,Draw,1,1,-7.0,-2.0,-3,-2,0,0,0,-1,4,0.6666666666666666,0.5,0.46153846153846156,0.3333333333333333,0.20512820512820507
5,2000/01,2000-08-19,Leeds,Everton,2,0,H,2,0,H,17.0,12.0,8.0,6.0,6,4,21,20,1,3,0,0,False,1,0,0,HomeWin,3,0,5.0,2.0,2,1,-2,0,2,2,2,0.47058823529411764,0.25,0.5,0.0,-0.02941176470588236
6,2000/01,2000-08-19,Leicester,Aston Villa,0,0,D,0,0,D,5.0,5.0,4.0,3.0,5,4,12,12,2,3,0,0,False,0,0,1,Draw,1,1,0.0,1.0,1,0,-1,0,0,0,0,0.8,0.0,0.6,0.0,0.20000000000000007
7,2000/01,2000-08-19,Liverpool,Bradford,1,0,H,0,0,D,16.0,3.0,10.0,2.0,6,1,8,8,1,1,0,0,False,1,0,0,HomeWin,3,0,13.0,8.0,5,0,0,0,1,0,1,0.625,0.1,0.6666666666666666,0.0,-0.04166666666666663
8,2000/01,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,D,8.0,14.0,2.0,7.0,2,9,10,21,3,1,0,1,False,1,0,0,HomeWin,3,0,-6.0,-5.0,-7,-11,2,-1,1,0,1,0.25,0.5,0.5,0.0,-0.25
9,2000/01,2000-08-19,Tottenham,Ipswich,3,1,H,2,1,H,20.0,15.0,6.0,5.0,3,4,14,13,0,0,0,0,False,1,0,0,HomeWin,3,0,5.0,1.0,-1,1,0,0,2,1,4,0.3,0.5,0.3333333333333333,0.2,-0.033333333333333326
10,2000/01,2000-08-20,Man United,Newcastle,2,0,H,1,0,H,19.0,9.0,9.0,6.0,7,1,7,13,0,1,0,0,False,1,0,0,HomeWin,3,0,10.0,3.0,6,-6,-1,0,2,1,2,0.47368421052631576,0.2222222222222222,0.6666666666666666,0.0,-0.19298245614035087
